Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution
29,October,2020,"4,590",,,"2,754",,13.96%,,,891,
30,October,2020,"3,820",,,"2,292",,20.75%,,,903,
31,October,2020,"2,418",,,"1,451",,21.31%,,,1590,
1,November,2020,"2,653",,,"1,592",,1.63%,,,25,
2,November,2020,"5,781",,,"3,469",,16.72%,,,855,
3,November,2020,"3,628",,,"2,177",,20.09%,,,782,
4,November,2020,"3,818",,,"2,291",,19.13%,,,701,
5,November,2020,"5,148",,,"3,089",,12.27%,,,681,
6,November,2020,"4,400",,,"2,640",,16.68%,,,803,
7,November,2020,"2,640",,,"1,584",,22.51%,,,578,
8,November,2020,"1,685",,,"1,011",,1.29%,,,20,
9,November,2020,"5,128",,,"3,077",,14.93%,,,888,
10,November,2020,"2,482",,,"1,489",,22.34%,,,583,
11,November,2020,"4,488",,,"2,693",,13.49%,,,819,
12,November,2020,"3,276",,,"1,966",,18.26%,,,683,
13,November,2020,"4,086",,,"2,452",,13.80%,,,828,
14,November,2020,"1,785",,,"1,071",,23.46%,,,488,
15,November,2020,"1,196",,,718,,0.33%,,,13,
16,November,2020,"5,072",,,"3,043",,12.16%,,,834,
17,November,2020,"2,610",,,"1,566",,20.28%,,,727,
18,November,2020,"3,747",,,"2,248",,14.92%,,,674,
19,November,2020,"3,209",,,"1,925",,13.36%,,,659,
20,November,2020,"2,313",,,"1,388",,22.23%,,,713,
21,November,2020,"1,541",,,925,,19.36%,,,468,
22,November,2020,"2,042",,,"1,225",,0.87%,,,20,
23,November,2020,"4,014",,,"2,408",,14.81%,,,846,
24,November,2020,"1,940",,,"1,164",,23.05%,,,723,
25,November,2020,"2,550",,,"1,530",,18.74%,,,681,
26,November,2020,"3,784",,,"2,270",,15.33%,,,559,
27,November,2020,"2,719",,,"1,631",,18.69%,,,782,
28,November,2020,"1,660",,,996,,21.14%,,,476,
29,November,2020,973,,,584,,9.24%,,,24,
30,November,2020,"4,759",,,"2,855",,13.27%,,,1624,
1,December,2020,"2,335",,,"1,401",,33.08%,,,610,
2,December,2020,"2,869",,,"1,721",,22.86%,,,557,
