Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,,,,,
13,August,2021,"2,068","5,061",-59.14%,"1,241","3,037",-59.14%,4.94%,12.76%,615,731,,,,,,
14,August,2021,"1,250","1,799",-30.52%,750,"1,079",-30.52%,0.77%,24.00%,405,818,,,,,,
15,August,2021,868,109,696.33%,521,65,696.33%,0.00%,12.80%,17,57,,,,,,
16,August,2021,"3,295","1,264",160.68%,"1,977",758,160.68%,2.01%,0.47%,637,14,,,,,,
17,August,2021,"2,384","3,464",-31.18%,"1,430","2,078",-31.18%,5.22%,13.40%,513,716,,,,,,
18,August,2021,"3,267","2,295",42.35%,"1,960","1,377",42.35%,1.70%,22.96%,558,698,,,,,,
19,August,2021,"2,492","2,765",-9.87%,"1,495","1,659",-9.87%,4.06%,19.95%,557,710,,,,,,
20,August,2021,"2,671","4,912",-45.62%,"1,603","2,947",-45.62%,3.27%,11.53%,566,634,,,,,,
21,August,2021,"1,433","2,381",-39.82%,860,"1,429",-39.82%,1.44%,21.32%,449,716,,,,,,
22,August,2021,"1,260","1,504",-16.22%,756,902,-16.22%,0.63%,19.91%,22,476,,,,,,
23,August,2021,"4,324","1,149",276.33%,"2,594",689,276.33%,5.11%,0.35%,739,18,,,,,,
24,August,2021,"2,196","3,210",-31.59%,"1,318","1,926",-31.59%,6.68%,20.49%,601,909,,,,,,
25,August,2021,"3,543","2,663",33.05%,"2,126","1,598",33.05%,2.46%,21.93%,655,734,,,,,,
26,August,2021,"3,901","3,983",-2.06%,"2,341","2,390",-2.06%,1.90%,14.55%,585,700,,,,,,
27,August,2021,"2,949","3,318",-11.12%,"1,769","1,991",-11.12%,2.30%,16.23%,664,718,,,,,,
