Permit #,City,State,ZIP,District,Date issued,Mapped Location,Zip,lng,lat,School Board Districts,S Neighborhoods,Police Precincts,Counties,Council Districts,Zip Codes
417,Nashville,TN,37205,23,4/9/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
275,Nashville,TN,37211,16,3/8/2012,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
355,Nashville,TN,37209,24,2/13/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
246,Nashville,TN,37215,34,1/6/2015,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
322,Nashville,TN,37208,19,12/3/2014,"Nashville, TN",37208,36.176427,-86.805176,1,,6,"2,005",15,
326,Nashville,TN,37212,18,12/31/2014,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
341,Nashville,TN,37211,30,10/8/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
349,Nashville,TN,37209,20,1/27/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
186,Nashville,TN,37138,11,12/3/2004,"Nashville, TN",37138,36.239455,-86.611783,4,121,3,"2,005",17,"18,487"
476,Nashville,TN,37206,5,9/3/2015,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
"3,277",Nashville,TN,37209,20,11/26/2014,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
230,Nashville,TN,37214,15,8/5/2013,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
308,Nashville,TN,37076,12,12/29/2014,"Nashville, TN",37076,36.175185,-86.5933,4,,3,"2,005",16,"28,805"
65,Nashville,TN,37211,8,2/13/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
305,Nashville,TN,37013,33,12/4/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
237,Nashville,TN,37215,25,12/3/2014,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
282,Nashville,TN,37217,13,12/1/2014,"Nashville, TN",37217,36.106646,-86.667608,9,,3,"2,005",18,"15,807"
302,Nashville,TN,37211,16,8/25/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
69,Nashville,TN,37218,1,11/19/2014,"Nashville, TN",37218,36.210699,-86.866798,1,,6,"2,005",1,"16,168"
335,Nashville,TN,37221,0,2/5/2015,"Nashville, TN",37221,36.064367,-86.96029,5,84,8,"2,005",35,"16,173"
271,Nashville,TN,37220,26,11/30/2015,"Nashville, TN",37220,36.06788,-86.776955,6,,5,"2,005",34,"16,171"
360,Nashville,TN,37220,4,12/10/2014,"Nashville, TN",37220,36.06788,-86.776955,6,,5,"2,005",34,"16,171"
273,Nashville,TN,37211,4,11/30/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
88,Nashville,TN,37216,7,1/27/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
223,Nashville,TN,37138,11,7/8/2013,"Nashville, TN",37138,36.239455,-86.611783,4,121,3,"2,005",17,"18,487"
261,Nashville,TN,37204,25,12/29/2014,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
5,Nashville,TN,37206,,3/12/2015,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
201,Nashville,TN,37209,24,3/12/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
451,Nashville,TN,37115,8,6/15/2015,"Nashville, TN",37115,36.262567,-86.704171,2,979,4,"2,005",4,"1,527"
147,Nashville,TN,37203,13,1/6/2015,"Nashville, TN",37203,36.150195,-86.790206,7,,5,"2,005",13,"30,406"
401,Nashville,TN,37203,30,2/13/2015,"Nashville, TN",37203,36.150195,-86.790206,7,,5,"2,005",13,"30,406"
461,Nashville,TN,37205,23,11/19/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
445,Nashville,TN,37204,25,5/15/2015,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
332,Nashville,TN,37220,26,12/29/2014,"Nashville, TN",37220,36.06788,-86.776955,6,,5,"2,005",34,"16,171"
308,Nashville,TN,37214,15,3/18/2015,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
,Nashville,TN,37211,26,12/8/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
434,Nashville,TN,37027,4,5/8/2015,"Nashville, TN",37027,36.00245,-86.778709,,,,"3,018",,"24,382"
428,Nashville,TN,37204,17,4/29/2015,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
214,Nashville,TN,37214,15,2/13/2015,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
318,Nashville,TN,37214,14,3/29/2012,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
319,Nashville,TN,37208,21,3/18/2015,"Nashville, TN",37208,36.176427,-86.805176,1,,6,"2,005",15,
153,Nashville,TN,37209,24,11/30/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
468,Nashville,TN,37206,6,7/23/2015,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
470,Nashville,TN,37205,23,8/11/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
61,Nashville,TN,37216,7,12/29/2014,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
251,Nashville,TN,37205,23,11/14/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
210,Nashville,TN,37211,26,4/17/2012,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
300,Nashville,TN,37207,2,12/15/2014,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
339,Nashville,TN,37013,33,12/4/2014,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
269,Nashville,TN,37207,2,2/10/2015,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
111,Nashville,TN,37211,27,1/13/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
238,Nashville,TN,37206,7,12/3/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
201,Nashville,TN,37214,13,11/19/2014,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
267,Nashville,TN,37221,35,11/19/2015,"Nashville, TN",37221,36.064367,-86.96029,5,84,8,"2,005",35,"16,173"
437,Nashville,TN,37013,23,12/1/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
2,Nashville,TN,37212,18,11/19/2015,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
268,Nashville,TN,37214,15,12/1/2015,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
405,Nashville,TN,37212,18,3/4/2015,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
250,Nashville,TN,37211,16,11/19/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
21,Nashville,TN,37205,24,12/1/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
242,Nashville,TN,37209,24,1/26/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
472,Nashville,TN,37205,25,8/12/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
424,Nashville,TN,37204,17,4/28/2015,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
453,Nashville,TN,37208,2,6/17/2015,"Nashville, TN",37208,36.176427,-86.805176,1,,6,"2,005",15,
205,Nashville,TN,37027,1,11/26/2014,"Nashville, TN",37027,36.00245,-86.778709,,,,"3,018",,"24,382"
178,Nashville,TN,37216,7,12/4/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
464,Nashville,TN,37216,7,7/2/2015,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
475,Nashville,TN,37205,23,11/30/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
59,Nashville,TN,37135,31,3/24/2015,"Nashville, TN",37135,35.946013,-86.661944,,,,"3,018",,"18,476"
329,Nashville,TN,37214,14,6/26/2014,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
433,Nashville,TN,37027,4,11/19/2015,"Nashville, TN",37027,36.00245,-86.778709,,,,"3,018",,"24,382"
